id,aircraft.id,maintenanceType,startDate,endDate,description,workOrder.id,supplierName,technician
947ef26d-9068-432c-933c-43e3e64462c2,AIRCRAFT-300,EMERGENCY,2026-07-07,2026-07-08,Finished pending electrical system checks,WORK-ORDER-4116,SkyMaster Maintenance Corp,Jennifer Kim
947f7ac0-b554-44b0-bab4-0900f73dfd20,AIRCRAFT-378,EMERGENCY,2026-12-01,2026-12-02,Performed overdue avionics system test,WORK-ORDER-10553,Apex Aircraft Support,Jennifer Kim
94811b7f-7d61-47f9-b210-97d0e144f92c,AIRCRAFT-8,EMERGENCY,2026-05-03,2026-05-03,Inspected exterior for hail damage,WORK-ORDER-1175,Horizon Aviation Systems,Sarah Chen
94824dac-ad8a-42f6-b520-d3b8a2b26f19,AIRCRAFT-372,UNSCHEDULED,2026-11-27,2026-11-27,Calibrated fuel quantity indicators,WORK-ORDER-10247,Precision Aviation Services,Sarah Chen
9482cd9d-99ba-4d05-ad99-f3bb13cec7ea,AIRCRAFT-13,UNSCHEDULED,2026-07-12,2026-07-12,Verified integrity of access panels and doors,WORK-ORDER-4540,Premier Flight Services,James Rodriguez
94863365-ac03-44c5-ac71-b9102068255e,AIRCRAFT-259,EMERGENCY,2026-04-22,2026-04-23,Topped off hydraulic fluid reservoir,WORK-ORDER-470,Premier Flight Services,Emily Davis
9486c52f-e1a9-44f3-8d38-d4778487ebe3,AIRCRAFT-105,SCHEDULED,2026-03-04,2026-03-04,Completed postponed engine run-up test,WORK-ORDER-9747,Horizon Aviation Systems,David Anderson
948d5174-e299-4c6b-9a95-e4ea82062f04,AIRCRAFT-66,EMERGENCY,2026-11-24,2026-11-24,Finished pending electrical system checks,WORK-ORDER-10228,TitanAir Logistics,Michael Thompson
948fb2b1-13ec-48e5-8c5e-8c1189ea6e20,AIRCRAFT-189,UNSCHEDULED,2026-11-30,2026-12-03,Inspected exterior for hail damage,WORK-ORDER-10441,AeroTech Solutions,Sarah Chen
9492c8bb-4304-4a71-b809-a347638a4246,AIRCRAFT-331,SCHEDULED,2026-09-09,2026-09-09,Replaced landing gear actuator seal,WORK-ORDER-7037,Apex Aircraft Support,Michael Thompson
94931741-8efc-4856-a8f3-0d1851a4b706,AIRCRAFT-111,EMERGENCY,2026-11-12,2026-11-12,Replaced worn turbine blades,WORK-ORDER-9705,Apex Aircraft Support,Jennifer Kim
949375f6-4e4c-4bb3-802e-6f0ec273575e,AIRCRAFT-390,SCHEDULED,2026-12-23,2026-12-24,Completed postponed engine run-up test,WORK-ORDER-11597,Horizon Aviation Systems,Michael Thompson
949489e8-91c2-447c-8f90-9820df4393b7,AIRCRAFT-25,EMERGENCY,2026-02-03,2026-02-03,Executed deferred structural inspection,WORK-ORDER-13400,Apex Aircraft Support,Sarah Chen
9494e56c-8e4d-4128-b3af-816f1896a19c,AIRCRAFT-381,SCHEDULED,2026-12-15,2026-12-15,Updated communication software,WORK-ORDER-11134,SkyMaster Maintenance Corp,Michael Thompson
94954c58-1bc6-457c-ae53-5b1efcb4a636,AIRCRAFT-27,UNSCHEDULED,2026-05-29,2026-05-29,Inspected fuel lines for leaks,WORK-ORDER-2360,Precision Aviation Services,Robert Martinez
949722ef-ef8a-47bd-8833-29d4253fda1b,AIRCRAFT-128,UNSCHEDULED,2026-08-22,2026-08-23,Inspected fuel lines for leaks,WORK-ORDER-6152,TitanAir Logistics,Emily Davis
949976ad-1913-4a36-981a-3e2d68080e38,AIRCRAFT-368,SCHEDULED,2026-12-14,2026-12-14,Inspected cargo hold for unauthorized items,WORK-ORDER-11199,TitanAir Logistics,Robert Martinez
949a84f2-bec8-4718-be7a-656f4f387794,AIRCRAFT-6,UNSCHEDULED,2026-10-27,2026-10-27,Replaced worn turbine blades,WORK-ORDER-8958,Horizon Aviation Systems,James Rodriguez
949cd909-159b-40a5-8f8a-4f4d186fc86a,AIRCRAFT-341,EMERGENCY,2026-10-07,2026-10-07,Completed postponed engine run-up test,WORK-ORDER-7987,Apex Aircraft Support,David Anderson
94a004d7-690b-44c6-9311-d15f5aaeacb1,AIRCRAFT-254,EMERGENCY,2026-04-22,2026-04-25,Replaced intercom system amplifier,WORK-ORDER-733,Horizon Aviation Systems,Robert Martinez
94a0dc62-02b0-407d-8a70-4b18f1c0bd67,AIRCRAFT-330,SCHEDULED,2026-10-28,2026-10-29,Performed routine safety equipment inspection,WORK-ORDER-9060,SkyMaster Maintenance Corp,Emily Davis
94a15362-bfa4-4369-9b80-92561378f78b,AIRCRAFT-25,SCHEDULED,2026-11-21,2026-11-22,Verified integrity of access panels and doors,WORK-ORDER-10142,Horizon Aviation Systems,Emily Davis
94a34151-7668-4290-beda-2474250f9491,AIRCRAFT-191,UNSCHEDULED,2027-01-14,2027-01-14,Verified integrity of access panels and doors,WORK-ORDER-12494,SkyMaster Maintenance Corp,Michael Thompson
94a37d66-f60c-4e74-94e0-84e4cd5f608d,AIRCRAFT-72,SCHEDULED,2026-04-24,2026-04-25,Replaced engine oil and filter,WORK-ORDER-886,SkyMaster Maintenance Corp,Robert Martinez
94a46b50-2ee4-46c2-8537-dc5c5b5be7a6,AIRCRAFT-327,EMERGENCY,2026-02-20,2026-02-20,Completed 100-hour inspection checklist,WORK-ORDER-5939,Premier Flight Services,Robert Martinez
94a5b4b5-94a3-4724-aa91-8304d8575e11,AIRCRAFT-240,SCHEDULED,2026-03-18,2026-03-20,Performed routine safety equipment inspection,WORK-ORDER-13509,Horizon Aviation Systems,David Anderson
94a937b4-36db-4883-bd63-fc6d345d8fa8,AIRCRAFT-290,EMERGENCY,2026-02-07,2026-02-07,Executed deferred structural inspection,WORK-ORDER-1103,Apex Aircraft Support,Sarah Chen
94a95ecf-2e3c-43b4-8011-e9a1f0c7e792,AIRCRAFT-235,SCHEDULED,2026-10-29,2026-10-29,Assessed corrosion from moisture exposure,WORK-ORDER-8972,Precision Aviation Services,Sarah Chen
94ab3e2b-c644-4e75-b24f-02bf9387b66b,AIRCRAFT-26,SCHEDULED,2026-05-25,2026-05-25,Updated communication software,WORK-ORDER-2306,Apex Aircraft Support,Michael Thompson
94ac6d0b-420f-4bb4-b41b-23f30cb9c017,AIRCRAFT-271,SCHEDULED,2026-03-12,2026-03-12,Performed routine safety equipment inspection,WORK-ORDER-12947,Precision Aviation Services,Michael Thompson
94ac9360-e331-4a37-8dfe-35fd23390c3e,AIRCRAFT-356,SCHEDULED,2027-01-10,2027-01-11,Performed scheduled lubrication service,WORK-ORDER-12325,Horizon Aviation Systems,Sarah Chen
94ae6ca3-0020-4ccf-9b39-92f3e9374a04,AIRCRAFT-16,EMERGENCY,2026-05-21,2026-05-24,Inspected cargo hold for unauthorized items,WORK-ORDER-2147,AeroTech Solutions,Robert Martinez
94aed2a7-0dd2-406c-b758-450dec5b7de6,AIRCRAFT-459,SCHEDULED,2026-04-01,2026-04-01,Replaced worn brake pads,WORK-ORDER-14156,TitanAir Logistics,James Rodriguez
94b1a1a9-df46-4fd2-952f-f7f32642d089,AIRCRAFT-338,EMERGENCY,2026-06-12,2026-06-12,Replaced worn hydraulic pump seals,WORK-ORDER-3053,TitanAir Logistics,Emily Davis
94b3dcd3-e8b9-4af5-af45-3f0142fcf385,AIRCRAFT-151,UNSCHEDULED,2026-03-10,2026-03-11,Conducted periodic system functional tests,WORK-ORDER-13269,AeroTech Solutions,Emily Davis
94b4d346-e37b-4c1d-a542-21505ecd707c,AIRCRAFT-200,UNSCHEDULED,2026-08-25,2026-08-25,Replaced worn brake pads,WORK-ORDER-6320,AeroTech Solutions,Emily Davis
94b57f64-9d1b-4ae8-a6f4-53d2a9789394,AIRCRAFT-102,UNSCHEDULED,2026-04-23,2026-04-23,Cleaned fuel injectors and filters,WORK-ORDER-747,Horizon Aviation Systems,Sarah Chen
94b5f340-048b-4392-acfa-d64707d5bf63,AIRCRAFT-87,UNSCHEDULED,2026-06-15,2026-06-15,Replaced worn turbine blades,WORK-ORDER-3264,Apex Aircraft Support,Robert Martinez
94b6957b-192f-4965-93da-db257dc7dc7f,AIRCRAFT-466,SCHEDULED,2026-06-27,2026-06-27,Checked wing surfaces for lightning strike marks,WORK-ORDER-3662,Horizon Aviation Systems,Robert Martinez
94b7599d-3ea9-4157-909d-40450c4126df,AIRCRAFT-5,SCHEDULED,2026-09-09,2026-09-10,Recalibrated inertial navigation system,WORK-ORDER-6949,SkyMaster Maintenance Corp,Robert Martinez
94ba0ecc-6354-48b1-84f9-4e2f9535e5e7,AIRCRAFT-213,UNSCHEDULED,2026-08-02,2026-08-03,Updated navigation software to latest version,WORK-ORDER-5339,Horizon Aviation Systems,Michael Thompson
94ba9ffa-f6db-49fb-aeff-2271398a2124,AIRCRAFT-429,EMERGENCY,2026-12-31,2027-01-02,Replaced landing gear actuator seal,WORK-ORDER-11956,Precision Aviation Services,Sarah Chen
94bb6b7a-49fb-400f-91e0-d489ead86795,AIRCRAFT-324,SCHEDULED,2027-01-12,2027-01-13,Assessed corrosion from moisture exposure,WORK-ORDER-12516,AeroTech Solutions,David Anderson
94be1f8b-0e8f-475b-acc3-133fb8644f73,AIRCRAFT-6,UNSCHEDULED,2026-12-01,2026-12-04,Replaced navigation display unit,WORK-ORDER-10496,AeroTech Solutions,Michael Thompson
94bee37c-c99f-46c4-b3e3-ab01c2c1ad16,AIRCRAFT-108,EMERGENCY,2026-10-30,2026-10-31,Inspected exterior for hail damage,WORK-ORDER-9109,Horizon Aviation Systems,David Anderson
94c19bff-394d-4950-8d6b-fa376501f074,AIRCRAFT-237,UNSCHEDULED,2026-09-09,2026-09-09,Inspected fuel lines for leaks,WORK-ORDER-7001,Apex Aircraft Support,Emily Davis
94c1ce52-26a3-4baa-8893-34fe683cec71,AIRCRAFT-359,SCHEDULED,2026-04-28,2026-04-28,Topped off auxiliary fuel tanks,WORK-ORDER-1073,Horizon Aviation Systems,Jennifer Kim
94c31e95-e922-4699-b062-77b8a35ae843,AIRCRAFT-211,SCHEDULED,2026-09-21,2026-09-24,Replaced worn brake pads,WORK-ORDER-7504,Horizon Aviation Systems,Emily Davis
94c405cb-00b4-4195-a830-7404c27f604a,AIRCRAFT-188,UNSCHEDULED,2026-11-12,2026-11-12,Cleaned fuel injectors and filters,WORK-ORDER-9813,Apex Aircraft Support,James Rodriguez
94ca4068-a8ea-4b74-a173-59577e96434e,AIRCRAFT-324,UNSCHEDULED,2026-10-18,2026-10-18,Replaced landing gear actuator seal,WORK-ORDER-8446,SkyMaster Maintenance Corp,Robert Martinez
94cbc10b-1e9b-43ed-998a-3124948172c4,AIRCRAFT-439,EMERGENCY,2026-07-09,2026-07-09,Inspected combustion chamber for cracks,WORK-ORDER-4411,TitanAir Logistics,James Rodriguez
94cd40eb-81ff-4056-96e5-fcbaab1989e0,AIRCRAFT-352,EMERGENCY,2026-04-10,2026-04-11,Conducted periodic system functional tests,WORK-ORDER-173,SkyMaster Maintenance Corp,James Rodriguez
94cf4b88-b12e-4a62-929e-28a00dfa8345,AIRCRAFT-127,UNSCHEDULED,2026-08-10,2026-08-12,Finished pending electrical system checks,WORK-ORDER-5780,Precision Aviation Services,Michael Thompson
94d19941-ad43-4601-8458-5d0d8336170f,AIRCRAFT-433,EMERGENCY,2026-07-05,2026-07-06,Replaced damaged tire,WORK-ORDER-4165,Premier Flight Services,James Rodriguez
94d1a858-14b7-417e-9109-9f68c767ed62,AIRCRAFT-495,EMERGENCY,2026-12-07,2026-12-08,Assessed corrosion from moisture exposure,WORK-ORDER-10695,TitanAir Logistics,Emily Davis
94d23557-be1c-4a62-8283-ac6a9e1b7046,AIRCRAFT-253,EMERGENCY,2027-01-20,2027-01-20,Assessed corrosion from moisture exposure,WORK-ORDER-12787,SkyMaster Maintenance Corp,James Rodriguez
94d42ca8-9e6f-43c8-b98b-2ece28b4f373,AIRCRAFT-459,SCHEDULED,2026-08-06,2026-08-10,Inspected cargo hold for unauthorized items,WORK-ORDER-5623,Precision Aviation Services,Emily Davis
94d505a4-b49a-478f-945a-3c84e0bdc3c7,AIRCRAFT-500,SCHEDULED,2026-08-31,2026-09-01,Replaced damaged tire,WORK-ORDER-6637,AeroTech Solutions,David Anderson
94d5ff3a-0d16-4730-989b-21d4145c7c38,AIRCRAFT-400,SCHEDULED,2026-09-10,2026-09-10,Finished pending electrical system checks,WORK-ORDER-7031,AeroTech Solutions,David Anderson
94d93e7b-da08-431d-8237-6338f3449e75,AIRCRAFT-76,EMERGENCY,2026-02-07,2026-02-07,Inspected exterior for hail damage,WORK-ORDER-653,Horizon Aviation Systems,Emily Davis
94d95599-e0c9-4e7f-a3ba-d64e8d77082e,AIRCRAFT-198,EMERGENCY,2026-05-16,2026-05-16,Performed thorough cabin security sweep,WORK-ORDER-2000,Horizon Aviation Systems,Jennifer Kim
94db9ccf-9d56-48da-871e-6f565669b506,AIRCRAFT-343,UNSCHEDULED,2026-10-16,2026-10-16,Repaired antenna cable connection,WORK-ORDER-8497,Premier Flight Services,Michael Thompson
94dcd112-adc7-4574-bb71-a3f1080927ed,AIRCRAFT-266,SCHEDULED,2026-04-23,2026-04-23,Replaced intercom system amplifier,WORK-ORDER-801,Horizon Aviation Systems,David Anderson
94e5fa1a-bdb9-4ea5-bdd5-00804212b0d2,AIRCRAFT-367,UNSCHEDULED,2026-02-17,2026-02-17,Replaced engine oil and filter,WORK-ORDER-4201,Precision Aviation Services,Michael Thompson
94e68115-eb91-4239-b1a3-86fb71e5699e,AIRCRAFT-489,SCHEDULED,2026-04-29,2026-05-01,Topped off hydraulic fluid reservoir,WORK-ORDER-1096,TitanAir Logistics,Emily Davis
94e9b76f-95b2-478b-87ed-a0d942cbe92b,AIRCRAFT-395,SCHEDULED,2026-05-27,2026-05-27,Inspected fuel lines for leaks,WORK-ORDER-2415,Horizon Aviation Systems,Michael Thompson
94eb14e6-e55a-4695-9af9-6bcc63a87ef0,AIRCRAFT-290,EMERGENCY,2026-07-16,2026-07-17,Performed routine safety equipment inspection,WORK-ORDER-4726,Apex Aircraft Support,James Rodriguez
94ebd80f-04e5-4b8f-91d2-6450a239b013,AIRCRAFT-404,EMERGENCY,2026-04-05,2026-04-06,Executed 50-hour maintenance checklist,WORK-ORDER-39,AeroTech Solutions,Sarah Chen
94ee9d73-e472-4855-8235-31b8221ff22c,AIRCRAFT-498,SCHEDULED,2026-09-20,2026-09-20,Inspected cargo hold for unauthorized items,WORK-ORDER-7447,Premier Flight Services,Jennifer Kim
94eed107-45f4-4535-8661-3715f7d73aaa,AIRCRAFT-90,SCHEDULED,2026-11-15,2026-11-15,Verified fuel quality and contamination check,WORK-ORDER-9969,SkyMaster Maintenance Corp,James Rodriguez
94ef408d-e23f-440b-854c-522a9ea9329f,AIRCRAFT-74,UNSCHEDULED,2026-09-05,2026-09-06,Executed 50-hour maintenance checklist,WORK-ORDER-6856,SkyMaster Maintenance Corp,Jennifer Kim
94f138e7-60d4-4b06-bb44-283210cbee39,AIRCRAFT-229,UNSCHEDULED,2026-12-27,2026-12-28,Topped off hydraulic fluid reservoir,WORK-ORDER-11637,AeroTech Solutions,Sarah Chen
94f18530-44c9-4243-a957-27d6df2a7d23,AIRCRAFT-75,EMERGENCY,2026-04-24,2026-04-24,Replaced engine oil and filter,WORK-ORDER-700,SkyMaster Maintenance Corp,Robert Martinez
94f3c297-b784-49ca-aaf1-454f55738680,AIRCRAFT-496,EMERGENCY,2026-05-11,2026-05-12,Recalibrated engine sensors,WORK-ORDER-1726,Precision Aviation Services,Michael Thompson
94f553b6-c504-415e-9f37-acf98b3a7e5a,AIRCRAFT-254,SCHEDULED,2026-12-11,2026-12-11,Executed 50-hour maintenance checklist,WORK-ORDER-10945,AeroTech Solutions,Robert Martinez
94f6ebde-6e73-42e0-a596-81d7a04faa89,AIRCRAFT-299,EMERGENCY,2026-03-07,2026-03-08,Topped off hydraulic fluid reservoir,WORK-ORDER-11742,SkyMaster Maintenance Corp,Emily Davis
94fbc935-37fc-41bd-b02a-02033356a7ad,AIRCRAFT-462,EMERGENCY,2026-03-29,2026-03-31,Replaced intercom system amplifier,WORK-ORDER-13985,AeroTech Solutions,Michael Thompson
94fbedd4-3e06-4460-92c9-c40769834f9f,AIRCRAFT-422,EMERGENCY,2026-11-28,2026-11-28,Performed thorough cabin security sweep,WORK-ORDER-10419,TitanAir Logistics,David Anderson
94fbff40-acf6-4547-bc7d-c35719ec9b1c,AIRCRAFT-138,SCHEDULED,2026-07-31,2026-08-01,Conducted periodic system functional tests,WORK-ORDER-5282,Precision Aviation Services,Michael Thompson
94fc778a-5441-4a86-a794-d81868b32891,AIRCRAFT-313,SCHEDULED,2027-01-08,2027-01-11,Replaced navigation display unit,WORK-ORDER-12414,Apex Aircraft Support,Robert Martinez
94fe4206-61e0-4879-9940-fd772a2727de,AIRCRAFT-370,EMERGENCY,2027-01-11,2027-01-16,Topped off hydraulic fluid reservoir,WORK-ORDER-12496,Horizon Aviation Systems,Jennifer Kim
94ff96ea-129c-4efb-99a9-daa9a4db6551,AIRCRAFT-369,SCHEDULED,2026-06-05,2026-06-05,Completed postponed engine run-up test,WORK-ORDER-2770,TitanAir Logistics,Jennifer Kim
950067d5-0b57-47ca-8a9f-fd21ff1f8cf6,AIRCRAFT-47,UNSCHEDULED,2026-12-20,2026-12-22,Verified integrity of access panels and doors,WORK-ORDER-11273,TitanAir Logistics,David Anderson
9500afe3-adf1-4caf-a8b4-c1c58fb379d9,AIRCRAFT-40,SCHEDULED,2026-04-27,2026-04-29,Executed deferred structural inspection,WORK-ORDER-1092,Precision Aviation Services,Emily Davis
950334b4-7c22-47bf-949e-bc24281f60b6,AIRCRAFT-452,UNSCHEDULED,2026-11-26,2026-11-27,Replaced faulty GPS module,WORK-ORDER-10347,TitanAir Logistics,Jennifer Kim
9503b184-b588-40ef-81ed-4a75271d5db4,AIRCRAFT-328,UNSCHEDULED,2026-05-26,2026-05-27,Replaced leaking hydraulic line,WORK-ORDER-2347,SkyMaster Maintenance Corp,Sarah Chen
9505020a-a4aa-4a19-9dd4-d4a63e502244,AIRCRAFT-97,EMERGENCY,2026-04-06,2026-04-07,Replaced worn brake pads,WORK-ORDER-14270,Horizon Aviation Systems,James Rodriguez
95050524-3741-4aef-9043-d2173d549e09,AIRCRAFT-498,UNSCHEDULED,2027-01-18,2027-01-19,Checked security seals on sensitive equipment,WORK-ORDER-12569,Horizon Aviation Systems,David Anderson
95076f2e-b046-45dc-ab70-be2119fc2fbd,AIRCRAFT-83,EMERGENCY,2026-05-03,2026-05-03,Verified integrity of access panels and doors,WORK-ORDER-1197,Horizon Aviation Systems,Robert Martinez
9508fe36-9c95-4246-8dba-a0f062efd7f9,AIRCRAFT-300,EMERGENCY,2026-12-15,2026-12-15,Verified fuel quality and contamination check,WORK-ORDER-11075,TitanAir Logistics,James Rodriguez
950a56df-46d7-4e77-8eee-b74a3919c0b9,AIRCRAFT-119,EMERGENCY,2026-12-31,2027-01-02,Performed thorough cabin security sweep,WORK-ORDER-11813,Precision Aviation Services,Jennifer Kim
